epoch,lr,train_loss,val_loss,val_mae,val_rmse,val_acc,val_acc_within_1
1,1.00e-04,5.90187,2.93586,3.36410,4.48244,0.11282,0.29231
2,9.99e-05,2.40949,1.63398,2.05128,2.94914,0.17436,0.50769
3,9.98e-05,1.57761,1.12502,1.48205,2.42952,0.31282,0.67179
4,9.96e-05,1.28660,1.07187,1.41026,2.30607,0.33333,0.65128
5,9.94e-05,1.13165,0.70141,1.04103,2.00640,0.41538,0.82564
6,9.91e-05,1.02374,0.82803,1.16410,2.14476,0.38974,0.77949
7,9.88e-05,0.97751,0.77246,1.12308,2.06435,0.37436,0.80513
8,9.84e-05,0.81800,0.63854,0.98462,1.84808,0.39487,0.83590
9,9.80e-05,0.93837,0.71150,0.99487,1.86740,0.49744,0.76923
10,9.76e-05,0.80439,0.66602,1.02051,1.76432,0.36410,0.81026
11,9.70e-05,0.78216,0.61277,0.88718,1.70219,0.46667,0.82051
12,9.65e-05,0.79921,0.58132,0.89744,1.67485,0.45641,0.82564
13,9.59e-05,0.63001,0.60167,0.88205,1.66410,0.48205,0.79487
14,9.52e-05,0.67558,0.60452,0.97436,1.72166,0.38462,0.83590
15,9.46e-05,0.62735,0.51451,0.82564,1.50725,0.44615,0.86667
16,9.38e-05,0.61383,0.48386,0.75385,1.53756,0.52821,0.86667
17,9.30e-05,0.52485,0.40196,0.69231,1.40146,0.51795,0.91795
18,9.22e-05,0.53862,0.49400,0.79487,1.50725,0.46667,0.87179
19,9.14e-05,0.49351,0.45439,0.71282,1.50384,0.52821,0.90769
20,9.05e-05,0.46172,0.46200,0.73333,1.50043,0.51795,0.90769
21,8.95e-05,0.41328,0.54713,0.88205,1.52248,0.39487,0.85128
22,8.85e-05,0.44899,0.47498,0.78462,1.45532,0.44615,0.88205
23,8.75e-05,0.38795,0.50645,0.84103,1.48842,0.43590,0.86154
24,8.64e-05,0.35649,0.38459,0.66154,1.31461,0.52821,0.91795
25,8.54e-05,0.40224,0.35815,0.62564,1.28502,0.54359,0.93846
26,8.42e-05,0.33758,0.36430,0.62051,1.26694,0.56410,0.92308
27,8.31e-05,0.31907,0.35073,0.60000,1.21740,0.58462,0.91282
28,8.19e-05,0.35347,0.35268,0.57436,1.22788,0.58462,0.94359
29,8.06e-05,0.36716,0.35280,0.61538,1.22370,0.55897,0.91795
30,7.94e-05,0.33121,0.36203,0.63590,1.25678,0.54872,0.91795
31,7.81e-05,0.29978,0.38790,0.69744,1.20682,0.47692,0.91282
32,7.68e-05,0.30584,0.30854,0.53333,1.07656,0.61026,0.93333
33,7.55e-05,0.29324,0.29479,0.52821,1.08368,0.60513,0.93846
34,7.41e-05,0.28704,0.28440,0.45128,1.07178,0.68718,0.94359
35,7.27e-05,0.30242,0.27523,0.46667,1.02031,0.65641,0.94872
36,7.13e-05,0.26818,0.27012,0.48205,1.04268,0.64615,0.93333
37,6.99e-05,0.26129,0.23643,0.40513,1.00000,0.70769,0.95385
38,6.84e-05,0.25503,0.33135,0.64103,1.09778,0.48718,0.93333
39,6.69e-05,0.23540,0.29391,0.50256,1.07178,0.65128,0.92821
40,6.55e-05,0.24437,0.30808,0.53333,1.09075,0.59487,0.94359
41,6.39e-05,0.24091,0.26901,0.45128,1.04759,0.68718,0.92821
42,6.24e-05,0.23453,0.26913,0.47692,1.01020,0.64615,0.93846
43,6.09e-05,0.22024,0.26859,0.49231,1.06699,0.64103,0.93846
44,5.94e-05,0.21361,0.23081,0.37436,0.96343,0.73846,0.95385
45,5.78e-05,0.22025,0.21861,0.38974,0.96077,0.70769,0.95897
46,5.63e-05,0.21584,0.24318,0.44103,0.98710,0.65641,0.95897
47,5.47e-05,0.21054,0.26255,0.43590,1.02532,0.67692,0.95897
48,5.31e-05,0.19674,0.25661,0.44103,0.99228,0.67179,0.95385
49,5.16e-05,0.20205,0.21529,0.33846,0.95003,0.76923,0.95385
50,5.00e-05,0.20525,0.24298,0.37436,0.96874,0.73333,0.95385
51,4.84e-05,0.19785,0.22843,0.40000,0.98710,0.70256,0.96410
52,4.69e-05,0.21298,0.22782,0.33846,0.94462,0.76410,0.95897
53,4.53e-05,0.19038,0.22838,0.37949,0.98710,0.73333,0.95385
54,4.37e-05,0.17659,0.21360,0.32821,0.91707,0.75385,0.97436
55,4.22e-05,0.19385,0.23846,0.40000,0.99743,0.71282,0.95385
56,4.06e-05,0.21047,0.23299,0.40513,0.93644,0.69744,0.94872
57,3.91e-05,0.20200,0.24707,0.43077,0.99743,0.67692,0.95385
58,3.76e-05,0.16690,0.22218,0.36923,0.97139,0.73333,0.96410
59,3.61e-05,0.18129,0.23402,0.42051,1.00256,0.68718,0.95897
60,3.45e-05,0.16495,0.22382,0.38462,0.94190,0.71795,0.95897
61,3.31e-05,0.15461,0.21684,0.35897,0.97665,0.75385,0.95385
62,3.16e-05,0.15146,0.21536,0.36923,0.99228,0.74359,0.95897
63,3.01e-05,0.14042,0.22532,0.38462,0.98969,0.73333,0.94872
64,2.87e-05,0.15682,0.23069,0.38974,0.96077,0.73333,0.93846
65,2.73e-05,0.15633,0.21293,0.33333,0.91427,0.76923,0.95897
66,2.59e-05,0.15005,0.21877,0.35897,0.98189,0.75897,0.94872
