epoch,lr,train_loss,val_loss,val_mae,val_rmse,val_acc,val_acc_within_1
1,1.00e-04,5.25653,1.53050,1.90256,2.88320,0.24615,0.58462
2,9.99e-05,1.56538,0.85114,1.21026,1.85362,0.28205,0.70256
3,9.98e-05,0.96043,0.57438,0.89231,1.57219,0.45641,0.82051
4,9.96e-05,0.95113,0.51671,0.80513,1.44115,0.45641,0.86667
5,9.94e-05,0.90167,0.57753,0.94359,1.48842,0.33846,0.84615
6,9.91e-05,0.79247,0.85285,1.23590,1.81588,0.25641,0.68205
7,9.88e-05,0.76574,0.42552,0.69744,1.25678,0.49744,0.88718
8,9.84e-05,0.74586,0.43645,0.70256,1.32239,0.52308,0.87692
9,9.80e-05,0.69208,0.40550,0.69231,1.27902,0.50256,0.89744
10,9.76e-05,0.64523,0.45899,0.73846,1.23205,0.45128,0.88205
11,9.70e-05,0.60880,0.36632,0.58462,1.17233,0.58462,0.90256
12,9.65e-05,0.53926,0.47031,0.82051,1.27299,0.38462,0.87692
13,9.59e-05,0.44685,0.35872,0.67692,1.18105,0.48205,0.91282
14,9.52e-05,0.49327,0.36587,0.61026,1.13001,0.53846,0.93333
15,9.46e-05,0.48620,0.42448,0.73333,1.26288,0.45641,0.89231
16,9.38e-05,0.43970,0.37081,0.61026,1.27098,0.56923,0.92308
17,9.30e-05,0.40725,0.35201,0.65128,1.23828,0.50769,0.92821
18,9.22e-05,0.43802,0.35298,0.65641,1.17670,0.48718,0.93333
19,9.14e-05,0.40142,0.35046,0.63077,1.21740,0.51795,0.93333
20,9.05e-05,0.43065,0.29863,0.50769,1.09778,0.61538,0.94359
21,8.95e-05,0.36361,0.33878,0.64615,1.13680,0.48718,0.92821
22,8.85e-05,0.37337,0.42061,0.70256,1.17014,0.47692,0.88718
23,8.75e-05,0.36632,0.30243,0.52821,1.08368,0.59487,0.94872
24,8.64e-05,0.31905,0.26292,0.45641,1.09310,0.65641,0.96410
25,8.54e-05,0.31245,0.33351,0.56410,1.11861,0.58462,0.91795
26,8.42e-05,0.30783,0.28876,0.51282,1.05733,0.61026,0.93846
27,8.31e-05,0.29982,0.26004,0.49231,1.01779,0.60513,0.96410
28,8.19e-05,0.30535,0.23545,0.40513,1.01527,0.70769,0.95897
29,8.06e-05,0.29444,0.29086,0.53333,0.98189,0.55385,0.95897
30,7.94e-05,0.28437,0.25470,0.46154,0.96077,0.61538,0.96923
31,7.81e-05,0.29266,0.25036,0.46154,0.99228,0.63077,0.96410
32,7.68e-05,0.27061,0.29135,0.53333,1.08604,0.58462,0.94872
33,7.55e-05,0.28830,0.29395,0.51795,1.04514,0.59487,0.94359
34,7.41e-05,0.26840,0.25658,0.47692,1.01527,0.63590,0.93846
35,7.27e-05,0.25965,0.21688,0.48718,0.98969,0.59487,0.96923
36,7.13e-05,0.27369,0.24282,0.45128,1.04759,0.65641,0.95385
37,6.99e-05,0.25366,0.29866,0.50256,1.01779,0.60000,0.94872
38,6.84e-05,0.25491,0.24454,0.47179,0.99228,0.62051,0.95897
39,6.69e-05,0.24015,0.21332,0.37436,0.96343,0.72308,0.96410
40,6.55e-05,0.21989,0.21815,0.41026,0.96077,0.68205,0.96410
41,6.39e-05,0.22150,0.21773,0.40513,0.92542,0.66667,0.97436
42,6.24e-05,0.25257,0.18604,0.30256,0.87413,0.77436,0.96923
43,6.09e-05,0.24871,0.24466,0.45641,0.97402,0.63590,0.95385
44,5.94e-05,0.21061,0.25841,0.47179,1.00256,0.63590,0.93846
45,5.78e-05,0.22441,0.20837,0.33333,0.92542,0.75897,0.96923
46,5.63e-05,0.22764,0.19053,0.34872,0.91147,0.73333,0.96923
47,5.47e-05,0.23540,0.27383,0.46667,0.98969,0.63077,0.94872
48,5.31e-05,0.22038,0.23083,0.41538,0.94733,0.66154,0.97436
49,5.16e-05,0.20431,0.18126,0.30769,0.87706,0.76410,0.97436
50,5.00e-05,0.22347,0.25815,0.45641,0.97927,0.63590,0.95385
51,4.84e-05,0.20843,0.20135,0.35385,0.92542,0.73846,0.95385
52,4.69e-05,0.20208,0.24253,0.43590,0.94190,0.64103,0.96410
53,4.53e-05,0.18057,0.20602,0.39487,0.94190,0.68718,0.96923
54,4.37e-05,0.18454,0.25340,0.46667,0.97927,0.62051,0.95897
