epoch,lr,train_loss,val_loss,val_mae,val_rmse,val_acc,val_acc_within_1
1,1.00e-04,7.63246,6.41649,6.77949,8.33097,0.05128,0.21538
2,9.99e-05,6.43842,5.56085,5.94359,7.50487,0.12821,0.25128
3,9.98e-05,5.55302,4.74676,5.22564,6.55274,0.12308,0.26154
4,9.96e-05,4.83538,4.11259,4.52308,5.69750,0.12821,0.24615
5,9.94e-05,4.18235,3.66130,4.11282,5.23891,0.11282,0.26154
6,9.91e-05,3.62717,2.53362,3.01026,3.80620,0.06667,0.25641
7,9.88e-05,3.19091,2.47654,2.98462,3.77441,0.05641,0.32308
8,9.84e-05,2.84998,3.02875,3.51795,4.60991,0.09744,0.35385
9,9.80e-05,2.55001,2.28542,2.71795,3.60199,0.14359,0.38462
10,9.76e-05,2.28792,1.93860,2.34359,3.17280,0.13846,0.44615
11,9.70e-05,2.10015,1.98966,2.43077,3.31894,0.16410,0.43590
12,9.65e-05,2.02242,1.76850,2.21538,3.01790,0.13846,0.45128
13,9.59e-05,1.95390,1.85271,2.26154,3.00000,0.11795,0.41538
14,9.52e-05,1.83405,2.47821,2.93846,3.83305,0.12308,0.32821
15,9.46e-05,1.80873,1.95322,2.37436,3.15660,0.15385,0.41026
16,9.38e-05,1.68760,2.16464,2.61538,3.59487,0.15385,0.41538
17,9.30e-05,1.69234,1.81701,2.26154,3.16471,0.15385,0.48205
18,9.22e-05,1.63879,1.40382,1.83077,2.65928,0.18974,0.55897
19,9.14e-05,1.57792,2.38934,2.88205,3.58630,0.11795,0.27179
20,9.05e-05,1.58229,1.51631,1.90769,2.66603,0.22564,0.49744
21,8.95e-05,1.59170,1.38856,1.80000,2.66699,0.23077,0.55897
22,8.85e-05,1.49354,1.30675,1.70256,2.47449,0.22051,0.54359
23,8.75e-05,1.45386,1.23444,1.65641,2.46930,0.22564,0.61026
24,8.64e-05,1.48326,1.51655,1.89744,2.83567,0.23077,0.55385
25,8.54e-05,1.49176,1.32257,1.76923,2.58100,0.19487,0.58974
26,8.42e-05,1.40297,1.22287,1.63077,2.48483,0.25641,0.56923
