epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,599.907,0.71649,0.39612,0.22232,0.95934,0.94321,0.95438,0.65455,0.32598,0.42089,0.03643,0.000665812,0.000665812,0.000665812
2,1192.34,0.37284,0.37757,0.03861,0.95826,0.94472,0.95889,0.67819,0.30685,0.40168,0.04136,0.00131929,0.00131929,0.00131929
3,1784.1,0.34723,0.36981,0.02596,0.94897,0.93945,0.94588,0.57899,0.39966,0.40336,0.04466,0.00195956,0.00195956,0.00195956
4,2375.33,0.36746,0.38463,0.02289,0.95248,0.95446,0.93997,0.48662,0.50003,0.47848,0.05014,0.0019406,0.0019406,0.0019406
5,2966.05,0.33796,0.36746,0.01826,0.95327,0.94747,0.94324,0.4285,0.56148,0.47922,0.05633,0.0019208,0.0019208,0.0019208
6,3556.76,0.3159,0.35882,0.01836,0.96004,0.94622,0.94751,0.43698,0.55374,0.44823,0.05494,0.001901,0.001901,0.001901
7,4147.72,0.32908,0.36515,0.01698,0.95102,0.97354,0.95691,0.59352,0.39005,0.41887,0.04008,0.0018812,0.0018812,0.0018812
8,4738.57,0.30973,0.36034,0.01683,0.94645,0.97354,0.96093,0.63098,0.35715,0.40715,0.03664,0.0018614,0.0018614,0.0018614
9,5328.98,0.29619,0.34879,0.01507,0.962,0.96746,0.96023,0.65012,0.34382,0.38157,0.03265,0.0018416,0.0018416,0.0018416
10,5919.77,0.28551,0.34901,0.01583,0.96146,0.97884,0.96958,0.69685,0.29779,0.37231,0.02911,0.0018218,0.0018218,0.0018218
11,6510.5,0.2796,0.33588,0.01606,0.95854,0.96502,0.95528,0.60502,0.38796,0.40565,0.04332,0.001802,0.001802,0.001802
12,7101.11,0.27898,0.34054,0.01516,0.96797,0.97727,0.9717,0.64833,0.34549,0.40494,0.03972,0.0017822,0.0017822,0.0017822
13,7691.77,0.28582,0.34181,0.015,0.95898,0.97707,0.96537,0.65244,0.34024,0.38554,0.03657,0.0017624,0.0017624,0.0017624
14,8282.49,0.29497,0.35159,0.01474,0.96699,0.98001,0.96823,0.66983,0.32887,0.37572,0.03435,0.0017426,0.0017426,0.0017426
