epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.092,1.26489,0.86205,0.88287,0.40161,0.55379,0.28869,0.1952,1.20566,3.62319,0.92978,0.000663248,0.000663248,0.000663248
2,522.44,1.1881,0.63379,0.87851,0.17388,0.7425,0.1591,0.10223,1.16448,14.8533,0.89831,0.00131675,0.00131675,0.00131675
3,630.657,1.16853,0.60937,0.88106,0.95844,0.95767,0.95868,0.57941,1.22945,0.68213,0.87056,0.00195705,0.00195705,0.00195705
4,674.131,1.16938,0.60943,0.87877,0.97543,0.95672,0.9644,0.67972,0.99121,0.55406,0.84262,0.0019406,0.0019406,0.0019406
5,717.667,1.12028,0.57901,0.86692,0.96311,0.96061,0.96102,0.68864,0.97399,0.55935,0.84038,0.0019208,0.0019208,0.0019208
6,761.137,1.08608,0.54765,0.86105,0.97152,0.96246,0.96316,0.70498,0.92676,0.51357,0.83464,0.001901,0.001901,0.001901
7,804.656,1.05869,0.56171,0.8702,0.96406,0.96767,0.96454,0.68967,0.93901,0.52797,0.83903,0.0018812,0.0018812,0.0018812
8,848.197,1.06881,0.54984,0.86105,0.9745,0.96825,0.972,0.70946,0.92403,0.49925,0.83511,0.0018614,0.0018614,0.0018614
9,891.672,1.01695,0.51585,0.85158,0.96767,0.96775,0.96818,0.71938,0.89096,0.48783,0.83266,0.0018416,0.0018416,0.0018416
10,935.122,1.0201,0.51348,0.84721,0.96947,0.97071,0.97345,0.70315,0.9252,0.48585,0.83456,0.0018218,0.0018218,0.0018218
11,978.626,0.99898,0.51616,0.85024,0.97425,0.97178,0.9749,0.71367,0.90126,0.49246,0.82805,0.001802,0.001802,0.001802
12,1022.14,0.99598,0.50829,0.85185,0.96721,0.97178,0.97201,0.7094,0.89393,0.47681,0.8341,0.0017822,0.0017822,0.0017822
13,1065.63,0.98642,0.49325,0.84489,0.97639,0.97255,0.9776,0.72857,0.86524,0.48105,0.8299,0.0017624,0.0017624,0.0017624
14,1109.09,0.98803,0.50649,0.84729,0.96803,0.97413,0.9685,0.73227,0.86838,0.4715,0.8284,0.0017426,0.0017426,0.0017426
15,1152.77,0.96197,0.50267,0.84968,0.97394,0.97766,0.97779,0.72978,0.85502,0.45864,0.82819,0.0017228,0.0017228,0.0017228
16,1196.28,0.9583,0.48177,0.84344,0.97411,0.9732,0.97664,0.72716,0.87289,0.46083,0.82784,0.001703,0.001703,0.001703
17,1239.7,0.97243,0.496,0.84546,0.97803,0.96767,0.96978,0.73338,0.83037,0.44656,0.82222,0.0016832,0.0016832,0.0016832
18,1283.3,0.94443,0.47023,0.83779,0.9769,0.97178,0.97809,0.73057,0.83989,0.4416,0.82412,0.0016634,0.0016634,0.0016634
19,1326.93,0.93459,0.48083,0.84478,0.97701,0.97427,0.97472,0.73483,0.82911,0.43403,0.82225,0.0016436,0.0016436,0.0016436
20,1370.42,0.92764,0.46093,0.83032,0.97363,0.9766,0.97028,0.72049,0.85589,0.453,0.8241,0.0016238,0.0016238,0.0016238
21,1414.06,0.96126,0.48536,0.85256,0.97845,0.97296,0.97507,0.72871,0.86794,0.44242,0.82568,0.001604,0.001604,0.001604
22,1457.39,0.93375,0.47045,0.83393,0.97709,0.97775,0.97257,0.74257,0.8261,0.42596,0.82169,0.0015842,0.0015842,0.0015842
23,1501.01,0.93116,0.46602,0.83492,0.97684,0.97472,0.97524,0.73529,0.83347,0.44167,0.82073,0.0015644,0.0015644,0.0015644
24,1544.53,0.93777,0.48219,0.84406,0.97538,0.97834,0.97351,0.73835,0.84184,0.42649,0.82386,0.0015446,0.0015446,0.0015446
25,1587.9,0.94441,0.46727,0.83944,0.97737,0.97884,0.97586,0.73613,0.84813,0.4317,0.8231,0.0015248,0.0015248,0.0015248
26,1631.41,0.92076,0.45653,0.83648,0.97671,0.97884,0.97793,0.74646,0.80644,0.42353,0.82095,0.001505,0.001505,0.001505
27,1674.89,0.9059,0.44063,0.82877,0.97483,0.97922,0.9771,0.74917,0.79066,0.41468,0.82056,0.0014852,0.0014852,0.0014852
28,1718.51,0.90978,0.46406,0.83821,0.98049,0.97491,0.97964,0.74065,0.84032,0.43474,0.82222,0.0014654,0.0014654,0.0014654
29,1762.02,0.9077,0.45166,0.82948,0.97348,0.97766,0.9785,0.75117,0.79588,0.41226,0.82036,0.0014456,0.0014456,0.0014456
30,1805.53,0.8913,0.45231,0.83121,0.97821,0.97651,0.98334,0.74289,0.79787,0.41943,0.8193,0.0014258,0.0014258,0.0014258
31,1848.96,0.89436,0.44599,0.83512,0.97676,0.97884,0.97085,0.74908,0.79847,0.41605,0.81908,0.001406,0.001406,0.001406
32,1892.41,0.88625,0.44952,0.83133,0.97548,0.98249,0.97768,0.7506,0.78847,0.40353,0.81662,0.0013862,0.0013862,0.0013862
33,1935.93,0.90434,0.43479,0.82607,0.97937,0.97702,0.98318,0.74107,0.79877,0.40787,0.81815,0.0013664,0.0013664,0.0013664
34,1979.35,0.87596,0.42254,0.82305,0.98058,0.97954,0.97964,0.75893,0.77794,0.39216,0.82146,0.0013466,0.0013466,0.0013466
35,2023.04,0.89962,0.45376,0.83616,0.97824,0.97773,0.97916,0.76029,0.7764,0.40016,0.81828,0.0013268,0.0013268,0.0013268
36,2066.75,0.88922,0.4317,0.83019,0.97412,0.98001,0.98177,0.75448,0.77432,0.39167,0.81798,0.001307,0.001307,0.001307
37,2110.36,0.8918,0.45033,0.83633,0.98025,0.9806,0.98048,0.76301,0.77478,0.39554,0.8144,0.0012872,0.0012872,0.0012872
38,2154.03,0.85647,0.42392,0.8212,0.97938,0.9806,0.9821,0.75725,0.77575,0.39738,0.81637,0.0012674,0.0012674,0.0012674
39,2197.58,0.85981,0.41939,0.82544,0.97851,0.97531,0.97852,0.76035,0.78366,0.40089,0.81793,0.0012476,0.0012476,0.0012476
40,2241.3,0.86784,0.42611,0.82377,0.98052,0.97666,0.97861,0.75001,0.77476,0.40631,0.8151,0.0012278,0.0012278,0.0012278
41,2284.84,0.85792,0.42514,0.82499,0.97961,0.97942,0.98167,0.75605,0.78271,0.39839,0.81778,0.001208,0.001208,0.001208
42,2328.29,0.85789,0.43721,0.83122,0.97822,0.98001,0.98309,0.76505,0.76716,0.39524,0.81638,0.0011882,0.0011882,0.0011882
43,2371.81,0.85351,0.41169,0.8227,0.97825,0.97819,0.98092,0.75836,0.76277,0.39479,0.81548,0.0011684,0.0011684,0.0011684
44,2415.22,0.85576,0.4252,0.83038,0.97819,0.9806,0.98139,0.76787,0.75956,0.39182,0.81474,0.0011486,0.0011486,0.0011486
45,2458.96,0.88366,0.43045,0.83017,0.97829,0.98035,0.98077,0.75203,0.79633,0.40938,0.81693,0.0011288,0.0011288,0.0011288
46,2502.64,0.85083,0.40182,0.82151,0.97947,0.98151,0.97781,0.76255,0.7671,0.38958,0.81388,0.001109,0.001109,0.001109
47,2546.07,0.85678,0.41627,0.82782,0.97946,0.98113,0.98076,0.76748,0.76098,0.38782,0.81607,0.0010892,0.0010892,0.0010892
48,2589.56,0.84267,0.40754,0.82361,0.97946,0.9811,0.98092,0.76944,0.74562,0.38465,0.81172,0.0010694,0.0010694,0.0010694
49,2633.2,0.84648,0.42617,0.82974,0.98118,0.98061,0.97959,0.76995,0.75664,0.38667,0.81356,0.0010496,0.0010496,0.0010496
50,2676.8,0.84319,0.41971,0.82176,0.97987,0.97942,0.9829,0.75905,0.76124,0.38717,0.81262,0.0010298,0.0010298,0.0010298
51,2720.36,0.8301,0.40666,0.81947,0.98179,0.98234,0.98426,0.75969,0.76013,0.38457,0.81319,0.00101,0.00101,0.00101
52,2763.92,0.82345,0.4086,0.82211,0.98177,0.98158,0.9812,0.7716,0.74339,0.37487,0.81133,0.0009902,0.0009902,0.0009902
53,2807.63,0.82934,0.40989,0.81805,0.98003,0.98072,0.97953,0.77592,0.74174,0.38141,0.81196,0.0009704,0.0009704,0.0009704
54,2851.15,0.83054,0.40648,0.82065,0.9809,0.98236,0.9791,0.77351,0.74604,0.3839,0.81265,0.0009506,0.0009506,0.0009506
55,2894.75,0.83269,0.4074,0.82072,0.98157,0.98236,0.98141,0.76701,0.76394,0.38515,0.81655,0.0009308,0.0009308,0.0009308
56,2938.39,0.82779,0.40328,0.82484,0.97893,0.98354,0.98112,0.77128,0.752,0.38336,0.81376,0.000911,0.000911,0.000911
57,2982.03,0.81683,0.39479,0.8154,0.98004,0.98146,0.98328,0.77682,0.74432,0.37627,0.81107,0.0008912,0.0008912,0.0008912
58,3025.49,0.84296,0.43143,0.82613,0.98062,0.98187,0.98152,0.77282,0.75132,0.3801,0.81142,0.0008714,0.0008714,0.0008714
59,3069.05,0.81034,0.40154,0.82141,0.98004,0.98159,0.98433,0.7732,0.74339,0.37534,0.81197,0.0008516,0.0008516,0.0008516
60,3112.64,0.81026,0.3889,0.81776,0.97931,0.98178,0.9831,0.77598,0.735,0.37473,0.81114,0.0008318,0.0008318,0.0008318
61,3156.1,0.80714,0.395,0.81721,0.9789,0.98179,0.98272,0.77502,0.73158,0.37008,0.81217,0.000812,0.000812,0.000812
62,3199.8,0.82284,0.39475,0.81706,0.97889,0.98155,0.98115,0.77371,0.73491,0.36902,0.81253,0.0007922,0.0007922,0.0007922
63,3243.46,0.80696,0.40265,0.82077,0.97945,0.98094,0.9813,0.77215,0.73892,0.37638,0.812,0.0007724,0.0007724,0.0007724
64,3286.93,0.80469,0.39572,0.82078,0.97781,0.98462,0.98391,0.77372,0.74251,0.36899,0.81122,0.0007526,0.0007526,0.0007526
65,3330.44,0.80191,0.39011,0.81664,0.97783,0.98525,0.98158,0.78207,0.71502,0.36073,0.80946,0.0007328,0.0007328,0.0007328
66,3374.11,0.80625,0.40103,0.8185,0.97977,0.98295,0.98233,0.78052,0.73159,0.37646,0.8098,0.000713,0.000713,0.000713
67,3417.78,0.79969,0.3875,0.81241,0.98007,0.98295,0.98077,0.77698,0.73514,0.36822,0.81148,0.0006932,0.0006932,0.0006932
68,3461.48,0.78994,0.38567,0.81652,0.98081,0.98471,0.97986,0.77426,0.72937,0.3648,0.80899,0.0006734,0.0006734,0.0006734
